Store,DayOfWeek,Customers,Open,Promo,SchoolHoliday,Year,Month,Day,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c,Date_year,Date_month,Date_day,Date_weekday,Actual,Predicted,Absolute Error
0.7549371633752244,0.0,0.7339483399418917,0.4523985204043637,0.0,-0.46637198103709543,2013.0,11.0,11.0,True,False,False,False,2013.0,11.0,11.0,0.0,,,
0.15888689407540396,0.5,0.4970894364232961,0.4523985204043637,0.0,2.144211146167591,2015.0,7.0,23.0,True,False,False,False,2015.0,7.0,23.0,3.0,,,
0.9703770197486535,0.8333333333333334,0.398039349497338,0.4523985204043637,0.0,-0.46637198103709543,2013.0,4.0,20.0,True,False,False,False,2013.0,4.0,20.0,5.0,,,
0.11220825852782765,0.0,0.18486633633060204,0.4523985204043637,1.0,-0.46637198103709543,2013.0,4.0,8.0,True,False,False,False,2013.0,4.0,8.0,0.0,,,
0.6059245960502694,0.0,2.878598048164811,0.4523985204043637,0.0,-0.46637198103709543,2013.0,5.0,20.0,False,True,False,False,2013.0,5.0,20.0,0.0,,,
0.3384201077199282,0.5,0.8696038937752691,0.4523985204043637,1.0,-0.46637198103709543,2014.0,6.0,5.0,True,False,False,False,2014.0,6.0,5.0,3.0,,,
0.9703770197486535,0.33333333333333337,0.660737406127053,0.4523985204043637,1.0,-0.46637198103709543,2015.0,6.0,3.0,True,False,False,False,2015.0,6.0,3.0,2.0,,,
0.6247755834829444,0.16666666666666666,1.194746570423523,0.4523985204043637,1.0,-0.46637198103709543,2014.0,2.0,4.0,False,False,False,False,2014.0,2.0,4.0,1.0,,,
0.7594254937163376,0.6666666666666666,1.5737208160532759,0.4523985204043637,0.0,-0.46637198103709543,2014.0,5.0,30.0,True,False,False,False,2014.0,5.0,30.0,4.0,,,
0.45780969479353684,0.0,0.43679807916401725,0.4523985204043637,1.0,2.144211146167591,2013.0,7.0,29.0,True,False,False,False,2013.0,7.0,29.0,0.0,,,
0.09605026929982047,0.33333333333333337,0.45402418123809696,0.4523985204043637,1.0,-0.46637198103709543,2014.0,4.0,2.0,True,False,False,False,2014.0,4.0,2.0,2.0,,,
0.9649910233393179,0.5,-0.23501990172509005,0.4523985204043637,0.0,-0.46637198103709543,2014.0,6.0,12.0,True,False,False,False,2014.0,6.0,12.0,3.0,,,
0.7324955116696589,0.6666666666666666,5.08784563916553,0.4523985204043637,1.0,-0.46637198103709543,2015.0,6.0,19.0,True,False,False,False,2015.0,6.0,19.0,4.0,0.7914911577036468,0.25251263,0.5389785239031402
0.7719928186714543,0.8333333333333334,0.08796951216390386,0.4523985204043637,0.0,-0.46637198103709543,2013.0,12.0,21.0,True,False,False,False,2013.0,12.0,21.0,5.0,,,
